locator_domain,page_url,location_name,street_address,city,state,zip,store_number,phone,latitude,longitude,hours_of_operation,country_code,location_type
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,2505 S Chelton Rd,Colorado Springs,CO,80916,ATMKR002544,<MISSING>,38.797213,-104.742386,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,3705 Drennan Rd,Colorado Springs,CO,80910,ATMKR002549,<MISSING>,38.780852,-104.758301,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug 2,5375 Airport Rd,Colorado Springs,CO,80916,ATMKR002342,<MISSING>,38.824170,-104.728500,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug 1,5375 Airport Rd,Colorado Springs,CO,80916,ATMKR002558,<MISSING>,38.824170,-104.728500,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,4098 Arrowswest Dr,Colorado Springs,CO,80907,ATMKR002554,<MISSING>,38.896879,-104.872640,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Target,5240 N Academy Blvd,Colorado Springs,CO,80907,ATMTG005832,<MISSING>,38.904852,-104.780854,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Safeway,5060 N Academy Blvd,Colorado Springs,CO,80918,ATMSW510001,<MISSING>,38.903579,-104.777381,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,1019 Space Center Dr,Colorado Springs,CO,80915,ATMKR002552,<MISSING>,38.846814,-104.722483,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,4713 Flintridge Dr,Colorado Springs,CO,80918,ATMWG510057,<MISSING>,38.900279,-104.768011,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug 2,4770 Drennan Rd,Colorado Springs,CO,80916,ATMKR002528,<MISSING>,38.782345,-104.739562,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug 1,4770 Drennan Rd,Colorado Springs,CO,80916,ATMKR002547,<MISSING>,38.782345,-104.739562,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Academy/North,5725 North Academy Blvd,Colorado Springs,CO,80918,BRCH06180019,719-278-5080,38.914144,-104.787472,9:00am - 5:00pm Mon - Thu 9:00am - 6:00pm Fri 9:00am - 12:00pm Sat,USA,branch
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,North Academy,5725 N Academy Blvd,Colorado Springs,CO,80918,ATMKB1851,<MISSING>,38.914144,-104.787471,24 Hour Access,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug 2,5825 N Academy Blvd,Colorado Springs,CO,80918,ATMKR002553,<MISSING>,38.915857,-104.786154,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,5755 Constitution Ave,Colorado Springs,CO,80915,ATMWG003914,<MISSING>,38.871395,-104.720810,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,6695 Galley Rd,Colorado Springs,CO,80915,ATMKR002550,<MISSING>,38.845825,-104.708911,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Safeway,2895 N Powers Blvd,Colorado Springs,CO,80922,ATMSW001167,<MISSING>,38.874283,-104.719832,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Safeway,840 Village Center Dr,Colorado Springs,CO,80919,ATMSW510040,<MISSING>,38.923778,-104.844353,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,6857 Space Village Ave,Colorado Springs,CO,80915,ATMKR002546,<MISSING>,38.838738,-104.699272,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Target,3810 Bloomington St,Colorado Springs,CO,80922,ATMTG005646,<MISSING>,38.888541,-104.718145,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,2785 Dublin Blvd,Colorado Springs,CO,80918,ATMWG003583,<MISSING>,38.925430,-104.776165,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Costco,5885 Barnes Rd,Colorado Springs,CO,80922,ATMCW001215,<MISSING>,38.892707,-104.718214,12:00am - 12:00am Sun-Sat,USA,ATM
